source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,astrometric_chi2_al,astrometric_n_good_obs_al,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,abs_g_mag
3312136499294830848,63.943368242641874,0.0596930277013446,15.400603406439703,0.030943732901468,21.31572760256228,0.0509919292210627,418.0216,115.65889500894376,0.1345654899952522,-21.55680470640376,0.0778480639238691,0.0,0.1358876207511059,9,309.6834,143,6.203033,6.4273896,5.8899236,0.53746605,2469.7285,559.8944,642.90405,1.164717,41.04966624054254,0.5508273308004303,2.846533808393259
3313662896312488192,66.11853471239752,0.0734304791241509,16.88605747548705,0.0308818689972615,21.66569209161861,0.0680530193050256,318.3649,112.13477588420014,0.1610230534811043,-25.50743704681829,0.0926955062823819,0.0,0.0,9,804.2651,394,7.6564097,7.9800057,7.199571,0.7804346,3300.618,733.14874,470.98972,1.1930847,37.70532863969025,0.1542326698563927,4.335272533750222
3311024789960504576,65.39544210986372,0.0577821401069471,14.409706546064516,0.0308293688736082,20.51987931160925,0.0677028900899001,303.0872,104.13093777731896,0.0986033834518383,-19.511894201901026,0.079009098157043,0.0,0.0,9,413.99493,171,6.48186,6.7146454,6.1613097,0.55333567,3495.8906,694.17993,446.60226,1.1640148,39.02481865137145,0.3117595908452302,3.042734010645222
3314063908819076352,66.35477640826697,0.0440727409925079,17.915214419248816,0.0225965167083232,21.31696607384222,0.0393816732580968,541.2915,109.62562618078104,0.1024116694876506,-31.42424122204236,0.072317217696378,0.0,0.0,10,363.9717,270,10.607862,11.382038,9.776768,1.6052704,2822.065,977.2712,1442.84,1.2752911,38.48521765981148,0.2776451384623807,7.251488970077322
3314079508140198528,66.07108444189181,0.0406805878244926,18.002788452502564,0.0218258673154198,21.403400079114224,0.0428075449678625,499.9913,110.91624454781004,0.0780156322120309,-30.795505633484456,0.0619136995990872,0.0,0.0,11,495.86078,365,9.645082,10.221438,8.963739,1.257699,4285.49,1022.9346,1020.88007,1.2291068,39.44363317489129,0.1802612208686929,6.297495847658153
3309967059774839808,69.17010273981005,0.0479476318429132,15.86920936668838,0.0264294261948513,21.550600835990853,0.054748274110277,393.63068,99.32942668642448,0.0915106749256413,-33.79581029413664,0.0684336553569613,0.0,0.0,12,632.00507,245,6.517978,6.7700367,6.172935,0.5971017,4267.3345,585.23047,410.20267,1.1666616,43.49405061722787,0.4094162935235651,3.185274914506441
45159901786525568,61.75566301001624,0.1014609544088083,15.334944148492989,0.0470026658735551,22.179966150582494,0.1188100879054965,186.6842,124.78929640581651,0.1651219844956743,-19.96740802210265,0.1094552596220103,0.0,0.0,8,162.6017,90,10.040395,10.717401,9.29649,1.4209108,666.39606,294.88116,258.6191,1.2382601,38.12084310623483,0.4289178378742824,6.770199395128273
3410529355323453312,70.0534087275751,0.0485665265373847,19.2859237346,0.0276053386537802,22.21422431046463,0.0524970297953674,423.152,98.94642755765358,0.1050313530182332,-40.16354238344082,0.0523365562090719,0.0587261934085342,1.6384715577941944,12,774.22485,242,12.563821,13.832479,11.459525,2.3729534,2054.963,524.5757,748.72174,1.4058872,,,9.296976764439377
3314150048683152896,67.87159901746988,0.0424747605772938,17.718523175638552,0.0198784894104062,22.30614762380479,0.0468362765648438,476.2579,104.83850526532969,0.083134960668363,-31.91787502726794,0.0531770438946827,0.0,0.3356691350848149,12,779.773,287,11.183414,12.1375,10.255111,1.8823891,929.82947,592.27954,731.0886,1.306204,,,7.925536860341506
3312709379213017728,66.90001675705912,0.0546608290187998,15.589088761900785,0.0243038917890535,20.92477767028886,0.0644539227299423,324.64706,104.99179772386444,0.1126664801763406,-24.068642004953237,0.0664318509299941,0.0,0.0,12,957.925,363,7.2737737,7.56749,6.867645,0.6998453,4396.9727,1186.683,866.903,1.1786602,39.394460726317526,0.1568413634096148,3.8770779611449644
